epoch,train_loss,eval_loss,eval_top1,eval_top5
73,5.214113114890613,2.3470623947143556,72.86,92.94
74,5.297755594290173,2.3595362846374512,73.43,93.15
75,5.193413084203547,2.457773408508301,73.29,92.64
76,5.103996542443387,2.449522631072998,72.27,92.59
77,5.245681813065435,2.3163367443084715,73.02,93.13
78,5.109785907247155,2.3408230125427245,72.6,92.69
79,5.171091451840272,2.520415613937378,71.74,91.83
80,5.154537834980729,2.4111597106933593,72.36,92.57
81,5.151764482297909,2.3162748233795165,73.52,93.17
82,5.2007953619987495,2.3771204566955566,73.56,93.21
83,5.190645009393728,2.5225653762817384,72.9,93.07
84,5.207994001928273,2.3503467700958254,72.82,92.79
85,5.18330563778456,2.4647532932281493,72.68,92.8
86,5.127330925644742,2.2872221431732176,73.87,93.39
87,5.105217064846493,2.3089890953063965,72.84,93.32
88,5.067677527170023,2.3823831573486327,73.2,93.09
89,5.150752570656595,2.3616763404846193,74.74,93.49
90,5.066067594572158,2.2823865856170653,74.17,93.27
91,5.127848643499513,2.341262381744385,74.16,93.07
92,5.116916694042778,2.441157442855835,73.43,92.62
93,5.130957850420826,2.3372783603668212,73.54,93.18
94,5.234834341019888,2.302812739944458,74.31,93.09
95,5.164462672305626,2.4018633445739748,73.6,92.49
96,5.111643330235792,2.3134377534866335,73.12,92.81
97,5.144958558369537,2.287908710479736,74.14,93.06
98,5.123029310480428,2.515804234313965,72.8,92.32
99,5.043823229671288,2.3419219635009765,73.37,92.83
100,5.087864226171516,2.357833919906616,73.45,92.61
101,5.119560427916035,2.1892940479278566,75.21,93.71
102,5.046604241665438,2.3405521949768064,73.79,93.06
103,5.054858793827696,2.286372017669678,74.16,93.22
104,5.068630515842218,2.274108813858032,74.41,93.53
105,5.039319698697626,2.2888486251831055,73.94,92.96
106,5.112543387846514,2.3261790897369385,74.32,93.09
107,5.150371589978129,2.2263140575408937,74.72,93.61
108,5.117710147410746,2.403891688156128,73.87,93.26
109,5.033173852937628,2.3793421146392824,74.55,93.26
110,5.044215192257519,2.2707038154602053,74.83,93.17
111,5.026580124292117,2.2660466400146486,74.48,93.42
112,5.089217437824733,2.372145849227905,74.78,93.31
113,5.106845454583553,2.4089217079162597,74.61,93.09
114,5.092446674000133,2.3498284305572508,74.65,93.33
115,5.093296818788165,2.297578092575073,74.52,93.26
116,4.9336483948667285,2.2280906925201416,74.3,93.41
117,5.048780760600228,2.275750487136841,74.55,93.57
118,5.014214559645414,2.257945323562622,75.13,93.47
119,5.049395797499926,2.2652954662323,75.47,93.73
120,5.076005975965043,2.2648040065765382,74.91,93.34
121,5.087193937826706,2.329494825363159,74.72,93.62
122,4.978628114609957,2.1453699516296387,75.6,93.99
123,4.969286792256921,2.1761546352386474,75.34,93.47
124,4.941128524409061,2.219513240432739,75.03,93.45
125,4.9700353887413895,2.3391767917633057,74.22,93.08
126,5.100958356478761,2.2190965923309327,75.31,94.06
127,5.059064223427473,2.2435834980010987,75.42,93.69
128,4.9988035911481905,2.2293221126556397,75.65,93.62
129,4.981565223307982,2.3459491451263426,75.29,93.6
130,5.010270109555175,2.155183498382568,76.08,94.23
131,4.983745538013082,2.1228239543914795,76.09,94.05
132,5.023839960940822,2.1863797550201416,75.67,93.76
133,5.030618471616972,2.28215834236145,75.2,93.6
134,4.991798516882825,2.2413878787994386,74.42,93.19
135,4.995517518853103,2.285477865219116,75.41,93.84
136,5.002748935994967,2.2230702518463135,74.4,93.51
137,4.94838512508573,2.3511818828582762,75.55,93.69
138,4.962994182002987,2.28911164894104,75.69,93.66
139,5.018352849535386,2.1712807632446287,75.39,93.85
140,4.931909511702925,2.195102103805542,75.44,93.41
141,4.87363712674677,2.174726131057739,75.95,93.99
142,4.996887903970579,2.2870986362457275,75.17,93.02
143,4.918304929354737,2.367619589614868,75.24,93.76
144,4.896257071733169,2.2639161518096924,75.37,93.54
145,5.025868447275687,2.3078141387939453,75.05,93.23
146,4.948202606963134,2.279731771469116,76.06,93.81
147,4.90242185665917,2.124928352355957,76.57,94.07
148,4.906701391393488,2.2804663928985596,74.52,93.68
149,4.89274126711026,2.158297138977051,76.62,94.16
150,4.913337455974193,2.2417234249114992,75.35,93.56
151,4.9610060167984225,2.1981225009918215,75.44,93.47
152,4.926634763175485,2.23177760181427,76.36,93.86
153,4.937417769096267,2.1905253673553466,75.54,93.72
154,4.91057538192495,2.270945932006836,76.22,93.78
155,4.804966310532847,2.20906967124939,75.67,93.92
156,4.858383089571085,2.1893482181549073,76.19,93.83
157,4.877283976416887,2.059261246109009,77.03,94.27
158,4.914750231976088,2.274874642562866,75.58,93.95
159,4.827663609068769,2.308200980758667,75.64,93.87
160,4.867006139474397,2.177453661727905,76.31,94.09
161,4.917036718961982,2.206504412841797,76.35,93.83
162,4.898329064421708,2.286572515869141,76.13,93.73
163,4.854250325130898,2.20264338722229,76.43,93.93
164,4.843533634986828,2.3003465728759767,75.61,93.53
165,4.892561695487185,2.1998439868927,75.99,94.01
166,4.916962866899146,2.178035800933838,76.53,94.23
167,4.843564528661867,2.1838376041412353,76.32,93.97
168,4.823475063228729,2.1478462184906006,76.27,93.66
169,4.845430775274846,2.27324831199646,76.19,93.55
170,4.88639990590446,2.2329806419372558,76.91,94.01
171,4.818731157483579,2.2679840187072755,76.16,93.83
172,4.818849309611107,2.2028769916534423,76.25,93.96
173,4.789662638333329,2.1761047481536866,76.59,94.23
174,4.866584269856979,2.105193155670166,77.02,94.27
175,4.8109090642648225,2.1907044355392458,76.06,93.45
176,4.811976091504555,2.143720728302002,76.88,93.82
177,4.850516138247736,2.1320228969573973,77.32,94.46
178,4.76936941568128,2.2045782066345216,77.09,93.84
179,4.674958904635128,2.1934569274902342,76.92,93.87
180,4.832864338243511,2.2222670886993408,76.52,93.81
181,4.7740343029154095,2.1486984432220457,76.4,93.8
182,4.794568390913413,2.2206652500152586,76.64,94.03
183,4.836938716690611,2.137992037200928,76.75,94.0
184,4.75526817812657,2.183353257369995,76.96,93.87
185,4.789557942965577,2.1166482109069826,76.9,94.39
186,4.709003810540662,2.157893118286133,76.78,94.03
187,4.754019092200813,2.029364632987976,77.12,94.32
188,4.772432727178752,2.1891908088684082,76.43,94.07
189,4.7280530355651305,2.1867150833129885,77.35,93.83
190,4.7718263872149045,2.224602888870239,76.41,93.97
191,4.75719059841581,2.1492063682556153,76.56,93.82
192,4.762376218385489,2.1879836059570312,76.27,93.95
193,4.793709167902967,2.141949978637695,77.16,94.27
194,4.809930375535113,2.2252289962768557,77.18,93.92
195,4.765240315438538,2.150095957565308,77.25,94.09
196,4.797284401638407,2.1734822830200193,76.52,94.06
197,4.750485503261435,2.1581276870727537,77.7,94.31
198,4.714235241068158,2.1608668254852295,76.44,93.81
199,4.75100621096456,2.203817757034302,77.28,93.9
200,4.744661563795141,2.092477220535278,77.15,93.87
201,4.724597927244922,2.1631452461242677,76.85,93.8
202,4.648188990911662,2.109401948928833,76.71,94.06
203,4.744468128788029,2.2334351539611816,77.13,93.76
204,4.681038067984978,2.126446546554565,77.58,94.31
205,4.755940626281172,2.0911543712615965,76.94,94.08
206,4.648270914099738,2.073470938491821,78.02,94.47
207,4.6618519113250025,2.079961772918701,78.25,94.63
208,4.698931400662958,2.0991763782501223,77.41,94.17
209,4.691995783438298,2.076461305999756,77.65,94.4
210,4.656538735583863,2.142675085449219,77.59,94.15
211,4.701320525168152,2.1056213897705076,77.5,94.36
212,4.681118984991701,2.107912731552124,78.01,93.98
213,4.635863508671408,2.202339273452759,77.69,94.53
214,4.648788552278135,2.100409318161011,77.89,94.62
215,4.553076794449712,2.0685147529602053,78.73,94.57
216,4.605135287273861,2.081648527145386,77.71,94.56
217,4.55235895243558,2.0892670597076415,77.91,94.35
218,4.6525320936562,2.165977046203613,77.61,93.84
219,4.659476937160907,2.108227611541748,78.65,94.8
220,4.597611817446622,2.080957369232178,78.11,94.27
221,4.616413390895927,2.1631862659454346,77.86,94.37
222,4.570393436238952,2.102640528678894,78.09,94.52
223,4.6489231110229685,2.1267375465393066,77.31,94.19
224,4.57664878053946,2.1744335554122927,77.45,93.96
225,4.569040769651513,1.9187181327819824,78.58,94.61
226,4.5578079635752,2.0700456001281737,78.16,94.31
227,4.608712985482015,2.1220381732940674,78.73,94.63
228,4.597908458086959,2.007520975112915,78.43,94.5
229,4.617590446325637,2.2121973449707033,78.01,94.15
230,4.535748992778275,2.120302095413208,77.94,94.3
231,4.584080033967803,2.1566471046447755,78.19,94.56
232,4.548598619185093,2.045425785064697,77.93,94.56
233,4.535083108003253,2.033883815383911,78.42,94.46
234,4.527745395555386,2.114055796813965,78.38,94.47
235,4.554156078419215,2.0611726470947267,79.44,94.73
236,4.535980313138681,2.177167078781128,77.26,94.33
237,4.534973500174841,1.9878083045959474,78.65,94.42
238,4.460224023091198,2.039678451919556,78.34,94.45
239,4.469969970773948,2.0687309944152834,78.23,94.37
240,4.425823672938133,1.9967198188781738,78.39,94.35
241,4.525937600264018,2.0208390390396116,78.66,94.71
242,4.503474725498585,2.11432254447937,78.35,94.36
243,4.475752123034107,1.9773824962615967,78.96,94.91
244,4.5048293922377916,1.9577060718536377,79.83,94.65
245,4.5681358149964435,2.138534683418274,78.43,94.22
246,4.518599593837801,2.013295690917969,79.39,94.56
247,4.487528197133434,2.0652897663116456,78.19,94.55
248,4.471586248175588,2.17817834854126,77.8,93.95
249,4.394911517254369,1.9585440170288086,78.96,94.58
250,4.425396337551893,1.8996667278289794,79.28,94.52
251,4.441445972031119,2.0016039918899535,79.42,94.55
252,4.462641341585509,1.977236124610901,79.11,94.56
253,4.394702621977705,1.974562427520752,78.79,94.96
254,4.449973803018333,2.0364701061248778,79.1,94.38
255,4.490265490303577,2.1252204292297363,78.86,94.66
256,4.370430415174262,1.9307885833740235,79.66,94.92
257,4.491759542466431,2.142793956375122,78.88,94.33
258,4.445040474627906,1.9907119010925294,79.26,94.66
259,4.4327748591097,2.0634025356292724,79.51,94.67
260,4.431867872554422,1.9797201190948486,79.32,94.82
261,4.343337538605615,2.037156467628479,79.53,94.55
262,4.401893540625383,2.020833603668213,78.93,94.66
263,4.365131019630139,2.0701462169647216,79.02,94.67
264,4.471575555819708,1.9705147472381592,79.84,94.84
265,4.339127201887465,2.1474120964050294,79.75,94.51
266,4.345179047688327,1.9410292488098144,79.41,94.87
267,4.306936215804878,1.9667674556732178,79.43,94.71
268,4.3696281470348834,1.968884606552124,79.67,94.79
269,4.347392223250698,2.103792968559265,78.82,94.64
270,4.314359394749973,1.9982801027297974,79.27,94.67
271,4.3087459068444875,1.971666785812378,79.3,95.01
272,4.466024140237083,2.0674352363586426,79.51,94.39
273,4.260818891732854,2.0965747272491453,79.0,94.68
274,4.283792616005286,2.054267961502075,79.46,94.84
275,4.355295288578039,1.9791107158660888,79.37,94.94
276,4.243307444258628,2.005754387283325,79.71,94.99
277,4.27926255157754,1.9137553155899047,79.85,94.88
278,4.250381894819868,2.0132276554107666,79.67,94.67
279,4.330873319342561,1.9841507156372071,79.71,94.53
280,4.307399748687402,2.009122197341919,80.04,94.58
281,4.351722302265875,2.0341854068756104,79.98,94.71
282,4.245414845006262,2.0612988677978517,80.03,94.4
283,4.209291100654651,1.8738134738922119,80.25,94.84
284,4.3100671208011665,2.021554374694824,79.82,94.74
285,4.2727952624710515,1.9809264976501464,79.56,94.65
286,4.264380067014511,2.0353725803375244,79.75,94.5
287,4.154045083153416,1.9923570316314698,80.1,94.7
288,4.3304606924899565,1.9837085880279541,80.47,94.7
289,4.222105161175991,2.009820754623413,80.11,94.77
290,4.25938691097704,1.9546960117340089,80.34,94.78
291,4.229580491361483,1.9616173587799073,80.13,94.84
292,4.228836999049412,1.931703955078125,80.03,94.79
293,4.262568819232848,1.9829039138793945,80.15,94.48
294,4.297527106562283,2.036048754692078,80.13,94.26
295,4.17472715200749,1.9699721349716186,80.18,94.9
296,4.233302184470027,1.9523952735900878,80.61,94.92
297,4.10964361165153,1.8996963203430175,80.47,94.81
298,4.127575629499291,1.8824096460342408,80.86,94.9
299,4.148608879151631,1.9270359912872315,80.3,94.56
300,4.168521253461264,2.0220781665802003,80.4,94.54
301,4.139857777254835,2.0100075328826903,80.6,94.83
302,4.224998830375232,2.026697234725952,80.01,94.44
303,4.153827526505259,2.0186426193237303,80.37,94.62
304,4.140815916348358,1.9836403854370117,80.35,94.93
305,4.236546776358816,1.9598640731811523,80.43,94.42
306,4.10609980246169,1.898795192337036,81.04,94.79
307,4.112502855924882,2.0355092552185057,80.43,94.52
308,4.174789378798725,1.885938985824585,80.62,94.66
309,4.058561680564196,1.9760742641448974,80.65,94.62
310,4.166387231493424,2.057726890563965,80.28,94.46
311,4.1330935332289735,1.9193183490753174,81.05,94.97
312,4.056866267579161,2.0015443069458008,80.42,94.65
313,4.050192318255709,1.9408480796813965,80.85,94.77
314,4.104978825462918,1.9941667976379394,80.52,94.44
315,4.157797836768948,1.96527615814209,80.65,94.96
316,4.068246505935122,1.899824443244934,80.7,94.49
317,4.0362760292583175,2.017375973892212,80.88,94.67
318,4.086917983279796,1.9655034774780273,81.08,94.73
319,3.9764236245356814,1.8265839931488037,81.17,94.94
320,4.0089268769863775,1.9968664390563964,80.71,94.46
321,4.050838851440274,1.967696767425537,80.6,94.83
322,4.032647273604605,1.8718650279998779,81.1,94.88
323,4.039493129286967,1.9224843914031982,81.53,94.8
324,3.9477209409892025,1.907300859451294,81.4,95.07
325,4.048879388047242,1.974554912185669,81.09,94.56
326,3.9720843894533555,1.964481958770752,81.03,94.57
327,4.061309372569779,1.9786607482910157,81.39,94.66
328,4.026103088858796,2.0158113370895387,80.83,94.8
329,3.9954725679453755,1.8867801372528077,81.31,94.86
330,4.052636879964919,1.9085858337402344,81.37,94.95
331,3.8833316468398795,1.8821539306640624,81.53,94.86
332,3.981446654787442,1.9770213928222655,81.31,94.87
333,4.018883570513561,1.9676027353286742,81.42,94.93
334,4.005254004279417,2.0545555625915526,81.55,94.68
335,3.987259661189725,1.9108949632644654,81.54,95.1
336,4.050763806063448,1.981243173789978,81.29,94.83
337,3.931957899684637,1.8929589546203613,81.43,94.94
338,3.9496907471999925,1.913386051940918,81.25,95.1
339,3.9380086440588236,1.9667913066864013,81.77,94.8
340,3.891297609033719,1.9079212404251098,81.63,95.06
341,3.8750270859990628,1.9413056228637695,81.4,94.98
342,4.00496844063953,1.9919809436798095,81.36,94.94
343,3.9744740835988415,1.9098014114379882,81.7,94.95
344,3.8973384019507336,1.9736899337768554,81.57,94.81
345,3.9250591060721463,2.0569209224700926,81.39,95.18
346,3.9458696887984623,1.8649442230224609,82.06,94.98
347,3.848272317655566,1.923172601890564,81.48,95.01
348,3.8756341535822223,1.9438047258377076,81.97,94.9
349,3.9831624069226077,1.9840563877105712,81.59,94.81
350,3.977873824927932,1.9783050193786622,81.31,94.97
351,3.878779064219984,1.8888878862380982,81.78,94.85
352,3.909725071068152,1.904409616279602,81.57,95.04
353,3.892898139666656,1.9850166166305543,81.54,94.99
354,3.9130437613754663,1.9028987483978272,81.86,95.02
355,3.909696049787934,1.924714959716797,81.94,94.92
356,3.836872092740331,1.8374930665969849,82.56,95.11
357,3.8492810051511404,1.836749892616272,81.89,95.21
358,3.8882506392829397,1.8780922458648681,82.05,95.09
359,3.855715277252979,1.9565579494476317,81.7,95.1
360,3.8917220809548216,1.9500453824996948,81.96,94.76
361,3.785415322160904,1.9230416484832764,81.87,94.85
362,3.9056731054938556,1.9686790376663208,81.78,94.97
363,3.8753410425137313,2.0362756904602053,81.9,94.81
364,3.855332168818436,1.867341623687744,82.2,95.0
365,3.8501934483170355,1.9446931734085082,81.84,94.89
366,3.910340410341221,1.9978386714935303,81.43,95.17
367,3.824610715944239,1.8668333404541015,81.83,94.88
368,3.8208241305491684,1.8968883100509644,81.88,94.98
369,3.9199583702905536,1.9336196153640748,82.03,95.04
370,3.964241533059622,1.8233363214492797,82.46,95.3
371,3.8240593097884585,1.882707483482361,82.16,95.07
372,3.82004245905809,1.9008038341522218,82.46,94.83
373,3.8769444737025323,1.9430212623596193,81.57,94.83
374,3.822081954775333,1.8139543678283692,82.37,95.13
375,3.756564884576541,1.9029890625,82.25,94.98
376,3.794798418135405,1.926106462097168,82.47,95.01
377,3.812718355854098,1.8596645175933837,82.31,95.05
378,3.7770683916521746,1.927261655807495,82.01,94.87
379,3.8002775565610194,2.044508090209961,82.01,94.86
380,3.8558370662559773,2.0131720741271972,82.17,95.11
381,3.8308161990132743,1.932250454902649,81.98,95.09
382,3.8302790085271132,1.9373797550201417,82.31,94.81
383,3.838386030722214,1.9194324796676636,82.35,94.97
384,3.765819735166816,1.9187780031204225,82.16,94.78
385,3.772173600373897,1.8921644208908082,82.21,94.8
386,3.791278761571867,1.8728013679504394,82.47,95.07
387,3.784336182433115,1.9220644664764404,82.53,94.79
388,3.7918657006435907,1.7978445476531983,82.47,95.02
389,3.751119987760097,1.9165239009857178,82.33,94.81
390,3.8311535356597313,1.9563797220230104,81.77,94.72
391,3.8172905158141814,1.9675332744598388,81.96,94.71
392,3.8213551975548192,1.940979362487793,82.58,94.69
393,3.7974837446029603,1.8882341287612916,82.14,95.13
394,3.817906859436963,1.9493783411026,82.31,94.91
395,3.744775292204834,1.8485169113159179,82.67,95.02
396,3.8257215314576936,1.975866418838501,82.11,94.94
397,3.8125609234261604,1.8489697111129761,82.44,95.25
398,3.7775657395241966,1.9170948734283448,82.43,95.0
399,3.809401940292036,1.9287545455932618,82.58,94.86
400,3.82782144003122,1.89832230758667,82.32,95.17
401,3.7000086099939677,1.8519896739959716,82.77,95.07
402,3.7694194254282953,1.9309810136795045,82.0,94.91
403,3.7298734737572077,1.788828141593933,82.76,95.33
404,3.760364221702312,1.8454005121231079,82.76,95.09
405,3.9087309138265067,1.9134644344329834,82.66,95.11
406,3.8022208395443866,1.8870943923950196,82.77,94.96
407,3.8453258982693796,1.9926077514648437,82.08,94.9
408,3.739542232738109,1.9962572868347168,81.92,94.83
409,3.8401283042531618,1.8242615367889403,82.25,94.93
