epoch,train_loss,train_top1,train_top5,eval_loss,eval_top1,eval_top5
0,4.090915130439397,30.96991037131882,80.90388924455826,3.270406298828125,46.37,92.94
1,3.797771831785976,41.085147247119075,87.76608514724713,2.948305114746094,43.87,89.99
2,3.6157913788027405,47.33314660691421,89.9747919334187,2.6365595947265623,55.17,94.15
3,3.4742321760492656,51.1963828425096,91.24319782330346,2.221307098388672,67.23,97.02
4,3.33431018390973,55.59979193341869,92.45958706786172,2.002994122314453,67.68,96.83
5,3.2705154461683597,58.06858194622279,93.26384443021767,2.032485818481445,71.36,97.76
6,3.187413258222856,60.26328425096031,93.66597311139564,1.663825112915039,78.0,98.58
7,3.148715803320979,61.81778169014085,94.1801376440461,1.6520980224609374,78.86,98.21
8,3.1002496105455406,62.760083226632524,94.51024327784891,1.5582563720703124,78.74,98.47
9,3.040713754567233,64.32458386683739,94.80833866837388,1.4784786987304688,80.58,98.76
10,2.988549234467188,66.23719590268887,95.02640845070422,1.4498756256103515,80.3,98.5
11,2.9844232525929293,66.40524967989757,95.27448783610755,1.388508233642578,82.95,99.02
12,2.929263923445981,67.68165813060179,95.46254801536492,1.398873193359375,83.0,98.99
13,2.9274571938642926,67.46158770806659,95.3064980793854,1.2817988006591796,82.88,99.12
14,2.911470645215844,67.7796895006402,95.55457746478874,1.327455810546875,84.04,99.0
15,2.8741180281632994,68.85603393085788,95.81466069142125,1.3109335510253906,85.4,99.15
16,2.8435144050478476,69.5802656850192,95.85867477592829,1.235472021484375,85.59,99.23
17,2.8602220416832216,69.44022087067862,95.90869078104994,1.167041586303711,86.06,99.24
18,2.817055392204265,70.21046734955186,96.06274007682458,1.1948168823242187,86.88,99.22
19,2.803552855602758,70.5445742637644,96.0967509603073,1.1139022491455077,87.3,99.34
20,2.7869394533765455,71.16477272727273,96.19078104993598,1.1028585327148437,88.05,99.52
21,2.81527729849504,70.61659731113957,96.16677336747759,0.9690368896484375,88.92,99.38
22,2.7713736404072153,71.25080025608194,96.20078425096031,1.0790417053222656,88.47,99.45
23,2.8030002402587675,71.11675736235595,96.30081626120358,1.02113515625,88.79,99.61
24,2.723017919994652,72.74727912932138,96.60491357234315,1.2379547424316406,87.85,99.41
25,2.744822753681569,72.62724071702945,96.75496158770807,1.035156884765625,88.64,99.49
26,2.7172448679365973,73.19742317541613,96.82498399487837,1.1374963623046874,89.07,99.4
27,2.694757487648733,73.36547695262485,96.79697503201024,0.979982275390625,89.94,99.55
28,2.731523701384492,73.02936939820742,96.64892765685019,1.2247524047851563,88.79,99.52
29,2.665934612900591,73.51952624839949,96.7529609475032,1.1669202087402344,89.66,99.56
30,2.6616119268456435,74.24975992317542,96.96102752880923,1.0256230285644532,90.13,99.66
31,2.7056808976907276,74.12371959026889,96.8169814340589,0.9003047122001648,90.54,99.69
32,2.7019305506985867,73.5595390524968,96.93101792573624,1.164131067276001,89.69,99.5
33,2.6500153132498494,74.96598911651729,97.07506402048655,1.2173003593444824,89.79,99.56
34,2.6459392422140025,74.74591869398208,97.08306658130601,1.0142667022705079,91.05,99.58
35,2.667025052020553,73.8556338028169,96.77296734955186,1.2351915498733521,90.16,99.57
36,2.5979735597910865,76.05433738796415,97.45718629961587,0.8474698400497437,90.35,99.72
37,2.64447802847082,74.96598911651729,97.06706145966709,0.9236241131782532,91.03,99.62
38,2.6267083072784465,75.60819462227913,97.27712868117797,1.0494523639678954,90.67,99.59
39,2.6619338648877893,75.03801216389245,97.15508962868118,0.8775592412948608,90.96,99.64
40,2.6366699050239046,75.1280409731114,97.05705825864277,0.9099749285697937,91.2,99.64
41,2.622862818604395,75.83826824583866,97.31113956466069,1.0204361289024353,90.41,99.56
42,2.595994523026421,76.20038412291933,97.32914532650449,0.9746762404441833,90.82,99.61
43,2.6547516460760607,75.7202304737516,97.26712548015365,1.0189572260856627,91.37,99.67
44,2.6247047320218155,75.43213828425095,97.25712227912932,0.9027870526313782,91.11,99.65
45,2.613387877901446,75.78225032010243,97.35515364916773,0.890119542312622,92.01,99.7
46,2.578482480421567,76.0743437900128,97.30113636363636,0.921681434059143,91.48,99.63
