epoch,train_loss,train_top1,train_top5,eval_loss,eval_top1,eval_top5
0,9.236083419008535,1.2143886043533931,5.251680537772087,9.1755775390625,1.22,5.28
1,9.199693587006436,1.1443661971830985,5.7278329065300895,9.238793333435058,0.96,5.33
2,9.2156253550941,1.1043533930857874,5.425736235595391,9.200853427124024,1.22,6.4
3,9.2204819910047,1.322423175416133,6.181978233034571,9.220688423156739,1.22,5.35
4,9.21137764084507,1.2924135723431498,6.247999359795134,9.123010494995118,1.41,8.45
5,9.15342809235088,1.752560819462228,8.056578104993598,9.015422576904298,2.49,10.81
6,9.12606350316281,2.1606914212548016,9.531049935979514,8.977096954345702,2.52,11.24
7,9.144397144586268,2.046654929577465,9.174935979513444,8.977026889038086,3.14,11.1
8,9.102129198677561,2.5588188220230474,10.913492317541614,8.917424563598633,3.6,13.12
9,9.084252430748542,2.894926376440461,11.759763124199743,8.886790509033203,2.73,12.83
10,9.074270702660007,2.9689500640204867,12.189900768245838,8.881896975708008,4.11,14.27
11,9.06755654607326,3.23303457106274,12.397967349551857,8.814176901245117,4.43,14.99
12,9.070237805687665,3.229033290653009,12.584026888604354,8.840847825622559,3.81,14.12
13,9.061964477070163,3.3930857874519846,12.844110115236877,8.8197541015625,3.98,14.36
14,9.057897104954446,3.3130601792573624,12.940140845070422,8.782776612854004,4.73,16.01
15,9.059550795756595,3.3210627400768247,12.96814980793854,8.754570079040528,4.72,16.03
16,9.065986220571052,3.2590428937259923,12.9821542893726,8.765885916137695,4.09,15.71
17,9.058307702654302,3.4130921895006403,13.448303457106274,8.766487632751465,4.4,16.11
18,9.054995875047203,3.4891165172855314,13.566341229193341,8.762531167602539,5.12,17.25
19,9.058489621219806,3.5191261203585147,13.496318822023047,8.789475311279297,4.23,14.14
20,9.048490683034196,3.563140204865557,13.830425736235595,8.724366999816894,4.86,16.83
21,9.045383382545696,3.7331946222791292,13.93645966709347,8.750790209960938,4.46,16.08
22,9.044622681357644,3.7952144686299616,13.986475672215109,8.788453842163086,4.25,15.56
23,9.033468421076385,3.7592029449423814,14.18854033290653,8.739937756347656,4.22,15.88
24,9.229826982134282,2.3567541613316263,9.779129321382843,9.21139245300293,2.0,8.03
25,9.278270440583956,1.6465268886043534,7.554417413572343,9.15138074798584,2.12,9.3
26,9.246848401888995,1.8005761843790014,8.230633802816902,9.124339102172852,2.2,8.73
27,9.224892876364969,1.8225832266325224,8.246638924455826,9.05269704284668,2.57,9.98
28,9.20797299178706,2.0766645326504483,8.742797695262484,9.067229330444336,2.31,10.69
29,9.20933055999795,2.0886683738796417,8.746798975672215,9.02763215789795,2.36,11.08
30,9.203422054285888,2.1286811779769526,9.024887964148528,9.032018171691895,2.88,11.43
31,9.201398331743501,2.1546895006402047,9.120918693982075,8.986610362243653,2.14,10.8
32,9.193396037122504,2.158690781049936,9.106914212548016,8.994618925476074,2.22,10.78
33,9.192062346181247,2.248719590268886,9.381001920614597,9.026860792541504,3.0,11.66
34,9.191712413646195,2.2807298335467348,9.473031370038413,9.0072626663208,2.45,11.21
35,9.18614160266637,2.4327784891165174,9.743117797695263,8.938533992004395,3.09,11.96
36,9.176753968496481,2.3327464788732395,9.675096030729833,8.989620629882813,2.93,11.53
37,9.173432726255605,2.3227432778489114,9.687099871959028,8.953277838134765,2.91,11.4
38,9.175705018330476,2.290733034571063,9.863156209987196,8.94692304840088,2.53,12.3
39,9.161398361342817,2.4567861715749038,10.117237516005122,8.917204067993165,3.53,12.24
40,9.152877849134379,2.572823303457106,10.25328104993598,8.916556968688965,3.55,11.82
41,9.132616617004942,2.5008002560819462,10.437339948783611,8.85553874206543,2.7,13.33
42,9.104961650472292,2.796895006402049,11.215588988476313,8.825786363220216,3.27,14.1
43,9.070895826312858,2.9549455825864275,11.909811139564662,8.71455287475586,4.36,17.0
44,9.020568238330407,3.37708066581306,13.482314340588989,8.614293685913086,5.52,18.33
45,8.971064096223682,3.6671734955185658,14.568661971830986,8.500895126342773,4.72,19.64
